"term","HR","CI_low","CI_high","p"
"scale(ProbWin)",1.35597822314203,1.27707683564045,1.43975435958271,2.37492147304185e-23
"Season1",1.10860017229972,0.96024011888071,1.27988231053658,0.159582494620736
"Season2",1.13430908892712,0.982548446007441,1.30951009535557,0.0854837379336935
